id,domain,images
2350,hqelektronika.hu,"[""https://hqelektronika.hu/image/?id=1920500+Weblap+Slider.jpg&dst=slider&num=0&ts=1783069693&wtype=1&ext=.jpg"", ""https://hqelektronika.hu/image/?id=%C3%9Cres+Slider.jpg&dst=slider&num=0&ts=1783339084&wtype=1&ext=.jpg"", ""https://hqelektronika.hu/mechanikai-alkatreszek/tavtartok-muanyagbol/v-0050804-2f-tavtarto-8mm-d8mm-furat-4-2mm-muanyag?cid=78819&cikkszam=V-0050804.2F"", ""https://hqelektronika.hu/mechanikai-alkatreszek/tavtartok-muanyagbol/v-0051003-6f-tavtarto-10mm-d7mm-furat-3-6mm-muanyag?cid=78820&cikkszam=V-0051003.6F"", ""https://hqelektronika.hu/mechanikai-alkatreszek/tavtartok-muanyagbol/v-0051004-2f-tavtarto-10mm-d8mm-furat-4-2mm-muanyag?cid=78821&cikkszam=V-0051004.2F"", ""https://hqelektronika.hu/mechanikai-alkatreszek/tavtartok-muanyagbol/v-0051203-6f-tavtarto-12mm-d7mm-furat-3-6mm-muanyag?cid=78822&cikkszam=V-0051203.6F"", ""https://hqelektronika.hu/mechanikai-alkatreszek/tavtartok-muanyagbol/v-0051204-2f-tavtarto-12mm-d8mm-furat-4-2mm-muanyag?cid=78823&cikkszam=V-0051204.2F"", ""https://hqelektronika.hu/mechanikai-alkatreszek/tavtartok-muanyagbol/v-0050204-2f-tavtarto-2mm-d8mm-furat-4-2mm-muanyag?cid=78806&cikkszam=V-0050204.2F""]"
2349,elektronixshop.hu,[]
2348,farnell.com,"[""https://www.farnell.com/flags-page-2019/images/DE.svg"", ""https://farnell.com/flags-page-2019/images/WW.svg"", ""https://farnell.com/flags-page-2019/images/AT.svg"", ""https://farnell.com/flags-page-2019/images/BE.svg"", ""https://farnell.com/flags-page-2019/images/BG.svg"", ""https://farnell.com/flags-page-2019/images/CZ.svg"", ""https://farnell.com/flags-page-2019/images/croatia-flag.png"", ""https://farnell.com/flags-page-2019/images/DK.svg""]"
2347,digikey.hu,"[""https://sc-a.digikeyassets.com/-/media/Images/Icons/Settings%20Modal/Building.png?la=en&ts=f78f4ff8-bbd4-4c5b-935b-32f28c04e0c4"", ""https://sc-a.digikeyassets.com/-/media/Images/Icons/Settings%20Modal/Buying.png?la=en&ts=0ccb7569-f2da-497f-8f6d-ae865f77a90a"", ""https://sc-a.digikeyassets.com/-/media/Images/Icons/Settings%20Modal/Settings.png?la=en&ts=8dcbe4fe-89ab-4100-9e37-9d39484a1699"", ""https://sc-c.digikeyassets.com/-/media/Images/Icons/Settings%20Modal/FastShipping.png?la=en&ts=6f6b3608-af2e-4141-877e-5ed5255d234e"", ""https://sc-c.digikeyassets.com/-/media/Images/Icons/Settings%20Modal/FreeShip.png?la=en&ts=fa3198b0-d236-4268-bf70-991297c3d348"", ""https://sc-a.digikeyassets.com/-/media/Images/Icons/Settings%20Modal/Incoterms.png?la=en&ts=b86ddd52-0c02-4b45-862a-d5b7d1959441"", ""https://sc-a.digikeyassets.com/-/media/Images/Icons/Settings%20Modal/Payment.png?la=en&ts=4a053262-2c7c-427f-b38d-2c0ce0909f1f"", ""https://sc-c.digikeyassets.com/-/media/Images/Global/Payment%20Methods/Visa.png?la=en&ts=4945bc38-369f-4a32-8ed0-e537f35d56e9""]"
2346,niche-electronics.com,"[""https://niche-electronics.com/wp-content/uploads/2022/10/NE-design-1.png"", ""https://niche-electronics.com/wp-content/uploads/2022/10/NE-prototyping-1.png"", ""https://niche-electronics.com/wp-content/uploads/2022/10/NE-manufacturing-1.png"", ""https://niche-electronics.com/wp-content/uploads/2022/10/NE-testing-1.png"", ""https://niche-electronics.com/wp-content/uploads/2022/10/NE-supply-chain-1.png"", ""https://niche-electronics.com/wp-content/uploads/2022/08/certification.png"", ""https://niche-electronics.com/wp-content/uploads/2022/08/certification1.png"", ""https://niche-electronics.com/wp-content/uploads/2022/08/certification2.png""]"
2345,mouser.com,[]
2344,statista.com,"[""https://cdn.statcdn.com/static/icons/company-logos/grayblue/logo-google-grayblue.avif"", ""https://cdn.statcdn.com/static/icons/company-logos/grayblue/logo-samsung-grayblue.avif"", ""https://cdn.statcdn.com/static/icons/company-logos/grayblue/logo-paypal-grayblue.avif"", ""https://cdn.statcdn.com/static/icons/company-logos/grayblue/logo-telekom-grayblue.avif"", ""https://cdn.statcdn.com/static/icons/company-logos/grayblue/logo-adobe-grayblue.avif"", ""https://cdn.statcdn.com/static/icons/company-logos/grayblue/logo-pg-grayblue.avif"", ""https://cdn.statcdn.com/Statistic/325000/326017-blank-355.png"", ""https://cdn.statcdn.com/Statistic/735000/735904-blank-355.png""]"
2343,mordorintelligence.com,"[""https://s3.mordorintelligence.com/static/updated-images/gptw-iso-home-25.webp"", ""https://s3.mordorintelligence.com/home/logos.png"", ""https://s3.mordorintelligence.com/home/industry_reports_logo.webp"", ""https://s3.mordorintelligence.com/home/custom_research.webp"", ""https://s3.mordorintelligence.com/static/new_img/distributed.svg"", ""https://s3.mordorintelligence.com/static/new_img/location.svg"", ""https://s3.mordorintelligence.com/static/new_img/flash.svg"", ""https://s3.mordorintelligence.com/static-pages-img/Group%2023testimonials.png""]"
2342,e-tailize.com,"[""https://e-tailize.com/images/logos/07e113952b1fb058.webp"", ""https://e-tailize.com/images/logos/dd5b0d08162a5a61.webp"", ""https://e-tailize.com/images/logos/fbf9245dac4cd94d.webp"", ""https://e-tailize.com/images/logos/af7a1893cddabd05.webp"", ""https://e-tailize.com/images/logos/7a6d2d3cfd2ae995.svg"", ""https://e-tailize.com/images/logos/a87237457439c3a5.webp"", ""https://www.google.com/s2/favicons?domain=anwb.nl&sz=128"", ""https://e-tailize.com/integrations/kaufland.svg""]"
2341,cms.law,"[""https://cms.law/var/dpcontent/storage/images/_aliases/etimagefull/2/8/1/2/24612182-1-ger-DE/85fe894d8238-840x420-Website-tile-80-.jpg"", ""https://cms.law/var/dpcontent/storage/images/_aliases/etimagefull/6/7/4/9/28129476-1-eng-GB/1b36a63d3fa6-840x420-Website-tile-28-.jpg"", ""https://cms.law/var/dpcontent/storage/images/_aliases/etimagefull/5/3/0/6/24736035-1-eng-GB/1ffd2f78c071-Header-Engineers-in-cleanroom-suits-using-microscopes.jpg"", ""https://cms.law/var/dpcontent/storage/images/_aliases/etimagefull/3/2/6/7/24297623-3-ger-DE/fb1a8c8b13cd-Tile-Wachstumsbooster-Infrastruktur-2025.jpg"", ""https://cms.law/var/dpcontent/storage/images/_aliases/etimagefull/6/6/1/8/24048166-1-eng-GB/01541925c9dd-Colorful-illumination-in-a-glass-elevator-840x420.jpg"", ""https://cms.law/var/dpcontent/storage/images/_aliases/etimagefull/6/6/0/1/18521066-2-eng-GB/48e222fbd879-Synthetic-cells-background-3D-illustration-840-x-420.jpg"", ""https://cms.law/var/dpcontent/storage/images/_aliases/cmsTeaserGroupImageStandard/7/3/7/3/22343737-1-eng-GB/7cee51010476-CTA-Teaser-1.jpg"", ""https://cms.law/var/dpcontent/storage/images/_aliases/cmsTeaserGroupImageStandard/4/4/7/3/22343744-2-eng-GB/777d98127473-cta_image_2.jpg""]"
2340,glopal.com,[]
2339,teilor.com,"[""https://cdn1.teilor.ro/media/uploads/Bijuterii_1_3c58acbadc.jpg"", ""https://cdn1.teilor.ro/media/uploads/Inele_de_logodna_1ec1562bc7.jpg"", ""https://cdn1.teilor.ro/media/uploads/Verighete_2_48485ea964.jpg"", ""https://cdn1.teilor.ro/media/uploads/bijuterii_cu_diamante_c1a4b7505e.jpg"", ""https://cdn1.teilor.ro/media/uploads/meniu_LGD_9cc9b86195.jpg"", ""https://cdn1.teilor.ro/media/uploads/menu_collection_Mira_a89da2f5eb.jpg"", ""https://cdn1.teilor.ro/media/uploads/Meniu_imagine_Gifts2_dd64561f91.jpg"", ""https://cdn1.teilor.ro/media/uploads/universul_teilor_c030de690c.jpg""]"
2338,konidesignshop.com,[]
2337,nakassi.com,[]
2336,zemajewels.com,"[""https://zemajewels.com/spring-selection/"", ""https://zemajewels.com/pc/products/pendants/"", ""https://zemajewels.com/pc/products/earrings/"", ""https://zemajewels.com/pc/products/rings/"", ""https://zemajewels.com/pc/products/bracelets/"", ""https://zemajewels.com/pc/products/cufflink/"", ""https://zemajewels.com/csontvary-gold-plat/"", ""https://zemajewels.com/wp-content/uploads/2020/09/9435-VanG-1_720.png""]"
